feature,log_OR,OR,ci_lower,ci_upper,p_value
def_hand_elev_above_ball_in,-0.0286,0.9718,0.7521,1.243,0.8236
arm_extension_ratio,-0.0529,0.9485,0.7718,1.2216,0.6518
trunk_lean_deg,0.1068,1.1127,0.8541,1.393,0.392
lateral_velocity_ft_s,0.0727,1.0754,0.8578,1.3754,0.546
min_def_joint_dist_ft,-0.0069,0.9931,0.7834,1.2521,0.954
pre_shot_distance_ft,-0.0714,0.9311,0.7453,1.1708,0.5354
