nba_id,player,pos2,primary_pos,active,height_wo_shoes_in,wingspan_in,height_wingspan_diff_in,team,d_dpm
12087,Jason Keep,UNK,UNK,false,81.75,84.5,2.75,,
201318,Jason Klotz,UNK,UNK,false,80.5,82,1.5,,
101131,Jason Maxiell,PF,PF,false,77,87.25,10.25,,
1630554,Jason Preston,PG,PG,false,75,80.5,5.5,,
2202,Jason Richardson,SG,SG,false,76.75,83.5,6.75,,
201160,Jason Smith,C-PF,C,false,82.75,82.75,0,,
201580,JaVale McGee,C,C,false,83,90,7,,
201159,Javaris Crittenton,"PG,SG","PG,SG",false,75,77.5,2.5,,
1642914,Javon Small,PG,PG,true,73,76.75,3.75,MEM,-1.11
1629750,Javonte Green,SG,SG,true,76.75,84,7.25,DET,1.09
101214,Jawad Williams,SF,SF,false,79,85.25,6.25,,
1628393,Jawun Evans,PG,PG,false,70.75,77.5,6.75,,
1629637,Jaxson Hayes,C,C,true,82.25,87.5,5.25,LAL,0.83
1642283,Jaxson Robinson,UNK,UNK,false,76.75,83.25,6.5,,
1630206,Jayden Scrubb,SG,SG,false,77,81.5,4.5,,
1630643,Jay Huff,C,C,true,85,88,3,IND,0.24
1628965,Jaylen Barford,UNK,UNK,false,73.25,75.5,2.25,,
1627759,Jaylen Brown,SF,SF,true,77.25,83.75,6.5,BOS,-1.25
1641740,Jaylen Clark,SG,SG,true,76,81,5,MIN,0.86
1628986,Jaylen Hands,UNK,UNK,false,73.5,77.5,4,,
1629669,Jaylen Nowell,PG,PG,true,75.25,79.25,4,NOP,-0.93
1642377,Jaylen Wells,SG,SG,true,78.5,79.25,0.75,MEM,-0.94
1631119,Jaylin Williams,PF,PF,true,80.75,85,4.25,OKC,1
1642281,Jaylon Tyson,SG,SG,true,77.5,80,2.5,CLE,-0.44
1628369,Jayson Tatum,PF,PF,true,79.5,83,3.5,BOS,0.22
2398,Jay Williams,PG,PG,false,72.25,75.5,3.25,,
12458,J'Covan Brown,UNK,UNK,false,73,77.25,4.25,,
1631120,JD Davison,PG,PG,true,72.5,78.5,6,HOU,0.5
1631168,Jean Montero,UNK,UNK,false,73,77.25,4.25,,
202399,Jeff Adrien,PF,PF,false,77.25,86,8.75,,
201965,Jeff Ayres,C,C,false,80.75,85,4.25,,
201145,Jeff Green,PF,PF,true,79,85.25,6.25,HOU,-1.31
12092,Jeff Newton,UNK,UNK,false,80,85,5,,
203106,Jeff Taylor,SF,SF,false,78,78.25,0.25,,
201952,Jeff Teague,PG,PG,false,72.25,79.5,7.25,,
203481,Jeff Withey,C,C,false,82.75,86,3.25,,
203924,Jerami Grant,SF,SF,true,78.5,86.75,8.25,POR,-0.84
202077,Jerel McNeal,PG,PG,false,73.5,79.25,5.75,,
12283,Jerel McNeal,PG,PG,false,73.5,79.25,5.75,,
12436,Jereme Richmond,UNK,UNK,false,78,82.25,4.25,,
1642847,Jeremiah Fears,PG,PG,true,74.5,77.25,2.75,NOP,0.06
1630526,Jeremiah Robinson-Earl,PF,PF,true,79.75,81.75,2,DAL,-0.36
12217,Jeremy Hunt,UNK,UNK,false,74,80.25,6.25,,
203087,Jeremy Lamb,SF-SG,SF,false,76,83,7,,
12264,Jeremy Pargo,PG,PG,false,72.5,77,4.5,,
202951,Jeremy Pargo,PG,PG,false,72.5,77,4.5,,
1631110,Jeremy Sochan,PF,PF,true,79.5,84,4.5,SAS,-0.5
202719,Jeremy Tyler,C,C,false,81,89,8,,
1626170,Jerian Grant,SG,SG,false,75.25,79.5,4.25,,
1630579,Jericho Sims,C,C,true,81,87.25,6.25,MIL,0.13
2651,Jermaine Boyette,UNK,UNK,false,73,76,3,,
201966,Jermaine Taylor,SG,SG,false,75.5,80.75,5.25,,
201176,Jermareo Davidson,SF,SF,false,81,88,7,,
2602,Jerome Beasley,PF,PF,false,81,84.5,3.5,,
12329,Jerome Jordan,C,C,false,83.5,89.25,5.75,,
1629010,Jerome Robinson,SG,SG,false,76,79.25,3.25,,
201573,Jerryd Bayless,PG,PG,false,73.75,75.5,1.75,,
12151,Jerry Green,UNK,UNK,false,73.5,78.25,4.75,,
12082,Jerry Holman,UNK,UNK,false,80.75,87.25,6.5,,
2219,Jeryl Sasser,SG,SG,false,77.5,82.5,5,,
1642399,Jesse Edwards,C,C,false,83.5,89,5.5,,
1641724,Jett Howard,SG,SG,true,78.25,81,2.75,ORL,-1.05
1628975,Jevon Carter,PG,PG,true,72.25,76.25,4,ORL,-0.1
2111,Jimmie Hunter,UNK,UNK,false,75,80,5,,
202710,Jimmy Butler,SF,SF,true,78,79.5,1.5,GSW,0.62
12255,Jiri Hubalek,UNK,UNK,false,81.5,82.75,1.25,,
200755,JJ Redick,SG,SG,false,76,75.25,-0.75,,
12200,Joah Tucker,UNK,UNK,false,75.75,78.5,2.75,,
201149,Joakim Noah,C,C,false,82,85.25,3.25,,
12297,Jobey Thomas,UNK,UNK,false,74.75,77.75,3,,
1629111,Jock Landale,C,C,true,83,86,3,ATL,-0.44
201975,Jodie Meeks,SG,SG,false,75,76.5,1.5,,
201570,Joe Alexander,SF,SF,false,79.25,83.5,4.25,,
201621,Joe Crawford,SF,SF,false,75,77.75,2.75,,
12245,Joe Crawford,UNK,UNK,false,75,77.75,2.75,,
203925,Joe Harris,SG,SG,false,76.75,78,1.25,,
204060,Joe Ingles,SF,SF,true,79.75,82.25,2.5,MIN,-0.08
12279,Joe Ingles,UNK,UNK,false,79.75,82.25,2.5,,
2207,Joe Johnson,SF,SF,false,78.75,81,2.25,,
1627762,Joel Bolomboy,PF,PF,false,79.5,85.75,6.25,,
12074,Joel Cornette,UNK,UNK,false,80.25,81.25,1,,
203954,Joel Embiid,C,C,true,83.75,89,5.25,PHI,0.82
12097,Joe Shipp,UNK,UNK,false,76,82,6,,
1630580,Joe Wieskamp,SF,SF,false,77.75,83,5.25,,
201595,Joey Dorsey,PF,PF,false,78.25,85.75,7.5,,
101121,Joey Graham,SF,SF,false,77.25,80,2.75,,
1628405,Johnathan Motley,PF,PF,false,79.75,88,8.25,,
1631219,John Butler,C,C,false,83.75,86.25,2.5,,
1628381,John Collins,PF,PF,true,80.25,83.25,3,LAC,0.89
2823,John Edwards,C,C,false,83.25,88.5,5.25,,
12111,John Gilchrist,UNK,UNK,false,73.25,81.25,8,,
203089,John Henson,C,C,false,81,89,8,,
1641780,Johni Broome,PF,PF,true,81.25,84.25,3,PHI,-0.21
203098,John Jenkins,SG,SG,false,75.25,80.5,5.25,,
1629723,John Konchar,SG,SG,true,76.75,80,3.25,UTA,1.72
101249,John Lucas III,PG,PG,false,69.25,72,2.75,,
1642277,Johnny Furphy,SF,SF,true,79.5,80,0.5,IND,1.04
12138,Johnny Hemsley,UNK,UNK,false,74.75,80,5.25,,
1630548,Johnny Juzang,SG,SG,true,77.5,82.5,5,MIN,-1.2
203948,Johnny O?Bryant III,PF,PF,false,79.25,86.25,7,,
1630566,John Petty Jr.,UNK,UNK,false,76.5,81.5,5,,
12259,John Riek,UNK,UNK,false,82.5,92.75,10.25,,
2422,John Salmons,SF,SF,false,77.5,82.25,4.75,,
1642910,John Tonje,SG,SG,false,76.75,81,4.25,,
202322,John Wall,PG,PG,false,74.75,81.25,6.5,,
202685,Jonas Valanciunas,C,C,true,83,89,6,DEN,-0.8
1631098,Jonathan Davis,SG,SG,true,76.25,80.5,4.25,WAS,0.21
1626182,Jonathan Holmes,UNK,UNK,false,80.25,83.5,3.25,,
1628371,Jonathan Isaac,PF,PF,true,82.5,85,2.5,ORL,2.57
1630228,Jonathan Kuminga,SF,SF,true,79,83.25,4.25,GSW,-0.65
1642367,Jonathan Mogbo,PF,PF,true,78.25,86,7.75,TOR,0.86
202739,Jon Diebler,UNK,UNK,false,77.25,78,0.75,,
202720,Jon Leuer,PF,PF,false,82,84,2,,
201938,Jonny Flynn,PG,PG,false,71.25,76,4.75,,
12341,Jon Scheyer,UNK,UNK,false,76.75,75.25,-1.5,,
1629007,Jontay Porter,PF,PF,false,82,84.25,2.25,,
203919,Jordan Adams,SG,SG,false,75.5,82,6.5,,
203947,Jordan Bachynski,UNK,UNK,false,85.25,88,2.75,,
1628395,Jordan Bell,C,C,false,79,83.75,4.75,,
1629648,Jordan Bone,PG,PG,false,73.5,75.25,1.75,,
203903,Jordan Clarkson,SG,SG,true,75.25,80,4.75,NYK,-1.79
202348,Jordan Crawford,SG,SG,false,75,79,4,,
200770,Jordan Farmar,PG,PG,false,72.75,75,2.25,,
1630692,Jordan Goodwin,SG,SG,true,74.75,82,7.25,PHX,0.64
202706,Jordan Hamilton,SF,SF,false,78.75,81.5,2.75,,
1641722,Jordan Hawkins,SG,SG,true,76.25,78.75,2.5,NOP,-1.67
201941,Jordan Hill,C,C,false,81.25,85.5,4.25,,
1629162,Jordan McLaughlin,PG,PG,true,71,76.5,5.5,SAS,0.48
203895,Jordan McRae,SG,SG,false,75.75,84.5,8.75,,
1626175,Jordan Mickey,PF,PF,false,79,87.25,8.25,,
1641757,Jordan Miller,SG,SG,true,76.5,83.75,7.25,LAC,-0.25
1629670,Jordan Nwora,SF,SF,false,77.75,82.5,4.75,,
1629673,Jordan Poole,SG,SG,true,75.5,78.75,3.25,NOP,-1.47
12507,Jordan Taylor,UNK,UNK,false,73,75,2,,
1641775,Jordan Walsh,SG,SG,true,77.75,85.75,8,BOS,1.12
202716,Jordan Williams,C,C,false,79.75,84.25,4.5,,
1630631,Jose Alvarado,PG,PG,true,71,73,2,NOP,0.4
2218,Joseph Forte,SG,SG,false,75.5,78.5,3,,
12258,Joseph Jones,UNK,UNK,false,79,84.25,5.25,,
2735,Josh Childress,SF,SF,false,77.75,83,5.25,,
1630528,Josh Christopher,SG,SG,false,75.25,81.25,6,,
12248,Josh Duncan,UNK,UNK,false,80,83.5,3.5,,
1630581,Josh Giddey,PG,PG,true,80,79.5,-0.5,CHI,-0.61
1630182,Josh Green,SG,SG,true,76.5,81.75,5.25,CHA,0.86
1628404,Josh Hart,SG,SG,true,76,80.5,4.5,NYK,0.4
12278,Josh Heytvelt,UNK,UNK,false,82,85.25,3.25,,
2572,Josh Howard,SF,SF,false,77.25,86,8.75,,
201177,Josh McRoberts,PF,PF,false,80,85,5,,
1631125,Josh Minnott,UNK,UNK,false,80,84,4,,
1631169,Josh Minott,PF,PF,true,79.5,83.75,4.25,BOS,1.21
1629006,Josh Okogie,SG,SG,true,75,84,9,HOU,1.31
2694,Josh Powell,PF,PF,false,80,85,5,,
202729,Josh Selby,PG,PG,false,73.75,77.25,3.5,,
2746,Josh Smith,PF,PF,false,79,84,5,,
1630221,Joshua Hall,SF,SF,false,78,83,5,,
1630563,Joshua Primo,SG,SG,false,76,81.25,5.25,,
12124,J.P. Batista,UNK,UNK,false,79.5,82,2.5,,
