bin,n,pred_mean,obs_rate,pred_min,pred_max
1,39,0.294038,0.179487,0.225338,0.328944
2,40,0.361730,0.325000,0.329126,0.380523
3,40,0.393795,0.400000,0.381508,0.407447
4,40,0.422584,0.500000,0.408033,0.437396
5,40,0.451439,0.500000,0.437591,0.463106
6,40,0.478710,0.525000,0.463321,0.491555
7,40,0.505364,0.400000,0.491639,0.520821
8,40,0.535022,0.550000,0.520940,0.556153
9,40,0.583194,0.625000,0.561472,0.606334
10,40,0.681519,0.700000,0.607528,0.849509
