game_id,shooter_id,shooter_name,nearest_defender_id,nearest_defender_name,made,p_base,p_full,lift_vs_baseline,lift_vs_full
0022500296,202699,Tobias Harris,1641796,Pelle Larsson,1,0.510486,0.563301,0.489514,0.436699
0022500296,202699,Tobias Harris,203952,Andrew Wiggins,0,0.569521,0.583887,-0.569521,-0.583887
0022500313,1628381,John Collins,1626181,Norman Powell,0,0.599987,0.522325,-0.599987,-0.522325
0022500313,1628381,John Collins,1628389,Bam Adebayo,0,0.583560,0.529798,-0.583560,-0.529798
0022500313,201935,James Harden,1626181,Norman Powell,0,0.476381,0.469459,-0.476381,-0.469459
0022500313,1627739,Kris Dunn,1630558,Davion Mitchell,1,0.528979,0.666550,0.471021,0.333450
0022500313,1641738,Kobe Brown,1631170,Jaime Jaquez Jr.,0,0.491415,0.549909,-0.491415,-0.549909
0022500313,201587,Nicolas Batum,1641796,Pelle Larsson,1,0.570273,0.585572,0.429727,0.414428
0022500313,202695,Kawhi Leonard,1626181,Norman Powell,0,0.536931,0.475639,-0.536931,-0.475639
0022500313,201935,James Harden,1630558,Davion Mitchell,0,0.492168,0.519170,-0.492168,-0.519170
0022500313,1642920,Kobe Sanders,1630558,Davion Mitchell,0,0.522043,0.693995,-0.522043,-0.693995
0022500313,201935,James Harden,1631170,Jaime Jaquez Jr.,1,0.469439,0.419020,0.530561,0.580980
0022500313,1642353,Cam Christie,1629639,Tyler Herro,0,0.321692,0.337024,-0.321692,-0.337024
0022500313,1642920,Kobe Sanders,1626181,Norman Powell,0,0.521448,0.483819,-0.521448,-0.483819
0022500313,101108,Chris Paul,203952,Andrew Wiggins,1,0.454810,0.425174,0.545190,0.574826
0022500313,101108,Chris Paul,1631170,Jaime Jaquez Jr.,1,0.450602,0.437396,0.549398,0.562604
0022500313,202695,Kawhi Leonard,1631170,Jaime Jaquez Jr.,1,0.498729,0.430309,0.501271,0.569691
0022500313,1642353,Cam Christie,1631323,Simone Fontecchio,0,0.301004,0.260154,-0.301004,-0.260154
0022500313,202695,Kawhi Leonard,1631170,Jaime Jaquez Jr.,1,0.503681,0.447963,0.496319,0.552037
0022500313,1628381,John Collins,1631323,Simone Fontecchio,0,0.601199,0.727174,-0.601199,-0.727174
0022500313,201587,Nicolas Batum,1629639,Tyler Herro,1,0.593667,0.730225,0.406333,0.269775
0022500313,202695,Kawhi Leonard,1630558,Davion Mitchell,1,0.536159,0.518290,0.463841,0.481710
