game_file,opponent,frame,period,game_clock,shot_clock,shooter_id,shooter_name,shooter_team,shooter_dist_to_rim_in,rim_x,rim_y,release_ball_x,release_ball_y,release_ball_z,min_ball_rim_3d_in,nearest_defender_id,nearest_defender_name,contest_distance_ft,closeout_speed_ft_s,closeout_delta_ft_500ms,contest_angle_deg,hand_up_in,shot_contest_quality
nba_game_0022500062_processed.parquet,Bucks,277087,3,2:51,9,1631157,Ryan Rollins,Bucks,311.31,-516.0,0.0,-256.297,-154.386,91.926,8.36,1630558,Davion Mitchell,5.949,11.494,5.747,149.02,36.85,59.18
nba_game_0022500062_processed.parquet,Bucks,304135,4,11:22,7,1631260,AJ Green,Bucks,344.1,-516.0,0.0,-172.009,-56.133,90.922,4.72,1641796,Pelle Larsson,5.086,5.638,2.819,122.38,42.24,53.34
nba_game_0022500062_processed.parquet,Bucks,328123,4,8:42,11,1631260,AJ Green,Bucks,329.46,-516.0,0.0,-316.219,-262.686,90.948,8.05,1641796,Pelle Larsson,4.003,1.922,0.961,168.48,44.38,43.2
nba_game_0022500062_processed.parquet,Bucks,346821,4,6:39,5,1626167,Myles Turner,Bucks,323.66,-516.0,0.0,-202.144,48.137,90.847,4.43,1641796,Pelle Larsson,6.254,11.87,5.935,172.21,39.26,58.11
nba_game_0022500062_processed.parquet,Bucks,347170,4,6:34,22,1631157,Ryan Rollins,Bucks,314.93,-516.0,0.0,-223.72,73.207,92.579,15.43,1629639,Tyler Herro,6.79,13.012,6.506,158.07,46.34,56.24
nba_game_0022500062_processed.parquet,Bucks,354423,4,4:55,19,1629018,Gary Trent Jr.,Bucks,305.81,-516.0,0.0,-324.657,228.811,90.774,6.96,203952,Andrew Wiggins,7.188,14.298,7.149,118.46,41.88,54.84
nba_game_0022500062_processed.parquet,Bucks,372159,4,3:14,20,1629018,Gary Trent Jr.,Bucks,324.96,-516.0,0.0,-327.556,-265.021,91.608,8.06,1630558,Davion Mitchell,4.382,5.259,2.629,170.15,41.51,54.38
nba_game_0022500062_processed.parquet,Bucks,375935,4,2:39,15,1629018,Gary Trent Jr.,Bucks,313.0,-516.0,0.0,-314.205,232.031,90.207,6.32,203952,Andrew Wiggins,5.787,10.589,5.294,148.45,33.74,59.74
nba_game_0022500062_processed.parquet,Bucks,382200,4,1:17,3.0,1629018,Gary Trent Jr.,Bucks,278.25,-516.0,0.0,-541.08,-274.536,90.792,15.71,1629639,Tyler Herro,3.816,4.284,2.142,154.65,3.15,40.34
nba_game_0022500062_processed.parquet,Bucks,382781,4,1:08,9,1629018,Gary Trent Jr.,Bucks,276.51,-516.0,0.0,-511.575,269.147,91.989,10.08,1626181,Norman Powell,9.109,8.368,4.184,113.23,8.44,40.15
nba_game_0022500062_processed.parquet,Bucks,387220,4,45.2,12,1629018,Gary Trent Jr.,Bucks,311.84,-516.0,0.0,-366.756,-265.763,90.534,10.97,1626181,Norman Powell,6.995,10.616,5.308,167.83,43.62,55.52
nba_game_0022500062_processed.parquet,Bucks,389543,4,6.5,,1626167,Myles Turner,Bucks,351.78,-516.0,0.0,-259.92,232.428,91.078,10.52,1628389,Bam Adebayo,5.643,11.46,5.73,170.79,36.2,60.25
nba_game_0022500296_processed.parquet,Pistons,1688,1,11:33,12,202699,Tobias Harris,Pistons,270.64,-516.0,0.0,-501.836,259.177,90.464,12.85,203952,Andrew Wiggins,9.63,12.44,6.22,164.32,38.5,46.29
nba_game_0022500296_processed.parquet,Pistons,6223,1,11:06,13,1629130,Duncan Robinson,Pistons,278.35,-516.0,0.0,-469.194,269.269,91.423,11.62,1629639,Tyler Herro,5.855,15.201,7.6,147.34,11.03,53.7
nba_game_0022500296_processed.parquet,Pistons,13550,1,10:18,17,1629130,Duncan Robinson,Pistons,318.98,-516.0,0.0,-347.894,264.675,91.185,7.49,1630558,Davion Mitchell,4.918,4.605,2.303,147.2,0.67,35.62
nba_game_0022500296_processed.parquet,Pistons,20730,1,8:34,9,1630595,Cade Cunningham,Pistons,332.02,-516.0,0.0,-195.185,14.069,90.714,10.69,203952,Andrew Wiggins,7.28,1.326,0.663,174.48,45.73,29.5
nba_game_0022500296_processed.parquet,Pistons,29154,1,7:28,10,1629130,Duncan Robinson,Pistons,310.88,-516.0,0.0,-232.141,101.783,92.107,9.11,1626181,Norman Powell,14.979,9.497,4.748,170.81,0.09,30.08
nba_game_0022500296_processed.parquet,Pistons,58580,1,4:33,5,1631093,Jaden Ivey,Pistons,311.81,-516.0,0.0,-224.206,52.248,92.749,7.88,203952,Andrew Wiggins,5.263,1.869,0.934,128.37,34.7,38.59
nba_game_0022500296_processed.parquet,Pistons,61704,1,4:06,16,1630595,Cade Cunningham,Pistons,319.31,-516.0,0.0,-240.965,147.308,91.294,9.74,1630558,Davion Mitchell,4.902,7.194,3.597,175.72,34.96,59.82
nba_game_0022500296_processed.parquet,Pistons,78998,1,2:48,13,1629130,Duncan Robinson,Pistons,285.39,-516.0,0.0,-496.547,278.84,90.994,16.52,1629639,Tyler Herro,3.34,14.16,7.08,136.14,21.46,68.31
nba_game_0022500296_processed.parquet,Pistons,123329,2,10:44,11,1629130,Duncan Robinson,Pistons,328.48,-516.0,0.0,-192.784,32.952,91.562,7.17,1631107,Nikola Jovic,3.487,14.575,7.288,121.65,50.02,67.8
nba_game_0022500296_processed.parquet,Pistons,146072,2,9:15,8,1630194,Paul Reed,Pistons,274.73,-516.0,0.0,-505.336,265.712,90.267,15.27,1629639,Tyler Herro,12.626,4.036,2.018,125.02,1.56,16.43
nba_game_0022500296_processed.parquet,Pistons,158918,2,6:30,9,1629750,Javonte Green,Pistons,276.08,-516.0,0.0,-505.036,-272.739,90.021,13.46,1626181,Norman Powell,5.274,8.639,4.32,154.87,41.27,61.54
nba_game_0022500296_processed.parquet,Pistons,160722,2,5:59,11,1630595,Cade Cunningham,Pistons,319.9,-516.0,0.0,-209.986,67.247,90.069,12.59,1626181,Norman Powell,5.82,2.815,1.407,174.31,40.05,40.18
nba_game_0022500296_processed.parquet,Pistons,169565,2,4:40,12,202699,Tobias Harris,Pistons,312.78,-516.0,0.0,-229.001,-92.13,91.847,10.54,1628389,Bam Adebayo,8.376,12.183,6.091,152.04,48.62,50.68
nba_game_0022500296_processed.parquet,Pistons,181498,2,3:21,13,202699,Tobias Harris,Pistons,312.97,-516.0,0.0,-217.86,-57.964,91.285,10.83,203952,Andrew Wiggins,6.196,0.641,0.32,167.57,9.88,23.95
nba_game_0022500296_processed.parquet,Pistons,213382,2,0.8,,1630595,Cade Cunningham,Pistons,309.26,-516.0,0.0,-344.737,-251.307,91.547,15.26,203952,Andrew Wiggins,4.588,6.422,3.211,172.7,41.95,58.03
nba_game_0022500296_processed.parquet,Pistons,233711,3,10:35,13,1630191,Isaiah Stewart,Pistons,316.01,516.0,0.0,260.199,-171.546,91.255,12.69,1630558,Davion Mitchell,5.883,7.878,3.939,165.48,40.89,58.95
nba_game_0022500296_processed.parquet,Pistons,249825,3,8:12,13,1629130,Duncan Robinson,Pistons,278.43,516.0,0.0,521.28,270.432,90.839,16.71,1628389,Bam Adebayo,6.649,14.404,7.202,162.2,30.99,56.73
nba_game_0022500296_processed.parquet,Pistons,283482,3,4:44,5,1630194,Paul Reed,Pistons,274.19,516.0,0.0,525.701,263.445,91.504,16.09,1642276,Kel'el Ware,5.851,11.193,5.597,179.44,50.47,59.52
